Team,FirstName,LastName,Nationality,Age,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,FullName,BirthCity,State
Club de Foot Montréal,Rida ,Zouhir Takedam,Canada,20,Quebec,,,,,,MLS,Rida Zouhir Takedam,,
Club de Foot Montréal,Enzo Joaquin,Sosa Romanuk,Uruguay,22,Quebec,,,,,,MLS,Enzo Joaquin Sosa Romanuk,,
Club de Foot Montréal,Jules-Anthony,Vilsaint,Canada,21,Quebec,,,,,,MLS,JulesAnthony Vilsaint,,
Club de Foot Montréal,Fernando Antonio,Álvarez Amador,Colombia,20,Quebec,,,,,,MLS,Fernando Antonio Álvarez Amador,,
Club de Foot Montréal,Ilias,Iliadis,Greece,23,Quebec,,,,,,MLS,Ilias Iliadis,,
Club de Foot Montréal,Ousman,Jabang,United States,23,Quebec,,,,,,MLS,Ousman Jabang,,
Club de Foot Montréal,Alessandro Simone,Biello,Canada,18,Quebec,,,,,,MLS,Alessandro Simone Biello,,
Club de Foot Montréal,Grayson ,Patrick Doody,United States,22,Quebec,,,,,,MLS,Grayson Patrick Doody,,
New England Revolution,Carles Gil,de Pareja Vicent,Spain,31,Massachusetts,,,,,,MLS,Carles Gil de Pareja Vicent,,
New England Revolution,Ignacio,Gil de Pareja Vicent,Spain,28,Massachusetts,,,,,,MLS,Ignacio Gil de Pareja Vicent,,
New England Revolution,Matt,Polster,United States,31,Massachusetts,,,,,,MLS,Matt Polster,,
New England Revolution,David,Romney,United States,31,Massachusetts,,,,,,MLS,David Romney,,
New England Revolution,Emmanuel,Boateng,Ghana,30,Massachusetts,,,,,,MLS,Emmanuel Boateng,,
New England Revolution,Andrew,Farrell,United States,32,Massachusetts,,,,,,MLS,Andrew Farrell,,
