Team,FirstName,LastName,Nationality,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,BirthCity,State,FullName
Los Angeles Galaxy,Rubén ,Ramos,United States,California,,,,,,MLS,,,Rubén  Ramos
Club de Foot Montréal,Victor Mugabe,Wanyama,Kenya,Quebec,,,,,,MLS,,,Victor Mugabe Wanyama
Club de Foot Montréal,Lassi,Lappalainen,Finland,Quebec,,,,,,MLS,,,Lassi Lappalainen
Club de Foot Montréal,Josef Alexander,Martínez,Venezuela,Quebec,,,,,,MLS,,,Josef Alexander Martínez
Club de Foot Montréal,Samuel,Piette,Canada,Quebec,,,,,,MLS,,,Samuel Piette
Club de Foot Montréal,Raheem Nathaniel Anfernee,Edwards,Canada,Quebec,,,,,,MLS,,,Raheem Nathaniel Anfernee Edwards
Club de Foot Montréal,Sebastian,Breza,Canada,Quebec,,,,,,MLS,,,Sebastian Breza
Club de Foot Montréal,Logan,Ketterer,United States,Quebec,,,,,,MLS,,,Logan Ketterer
Club de Foot Montréal,Ruan Gregório,Teixeira,Brazil,Quebec,,,,,,MLS,,,Ruan Gregório Teixeira
Club de Foot Montréal,Matías Fernando,Cóccaro Ferreira,Uruguay,Quebec,,,,,,MLS,,,Matías Fernando Cóccaro Ferreira
Club de Foot Montréal,Dominik,Yankov,Bulgaria,Quebec,,,,,,MLS,,,Dominik Yankov
Club de Foot Montréal,Mason,Toye,United States,Quebec,,,,,,MLS,,,Mason Toye
Club de Foot Montréal,Gabriele,Corbo,Italy,Quebec,,,,,,MLS,,,Gabriele Corbo
Club de Foot Montréal,Mathieu,Choinière,Canada,Quebec,,,,,,MLS,,,Mathieu Choinière
Club de Foot Montréal,Ariel Daniel,Lassiter Acuña,Costa Rica,Quebec,,,,,,MLS,,,Ariel Daniel Lassiter Acuña
Club de Foot Montréal,Sunusi,Ibrahim,Nigeria,Quebec,,,,,,MLS,,,Sunusi Ibrahim
Club de Foot Montréal,Joel,Waterman,Canada,Quebec,,,,,,MLS,,,Joel Waterman
Club de Foot Montréal,George,Campbell,United States,Quebec,,,,,,MLS,,,George Campbell
Club de Foot Montréal,Bryce,Duke,United States,Quebec,,,,,,MLS,,,Bryce Duke
Club de Foot Montréal,Jonathan,Sirois,Canada,Quebec,,,,,,MLS,,,Jonathan Sirois
Club de Foot Montréal,Kwadwo,Opoku,Ghana,Quebec,,,,,,MLS,,,Kwadwo Opoku
Club de Foot Montréal,Nathan-Dylan,Saliba,Canada,Quebec,,,,,,MLS,,,Nathan-Dylan Saliba
Club de Foot Montréal,Rida ,Zouhir Takedam,Canada,Quebec,,,,,,MLS,,,Rida  Zouhir Takedam
Club de Foot Montréal,Enzo Joaquin,Sosa Romanuk,Uruguay,Quebec,,,,,,MLS,,,Enzo Joaquin Sosa Romanuk
Club de Foot Montréal,Jules-Anthony,Vilsaint,Canada,Quebec,,,,,,MLS,,,Jules-Anthony Vilsaint
Club de Foot Montréal,Fernando Antonio,Álvarez Amador,Colombia,Quebec,,,,,,MLS,,,Fernando Antonio Álvarez Amador
Club de Foot Montréal,Ilias,Iliadis,Greece,Quebec,,,,,,MLS,,,Ilias Iliadis
Club de Foot Montréal,Ousman,Jabang,United States,Quebec,,,,,,MLS,,,Ousman Jabang
Club de Foot Montréal,Alessandro Simone,Biello,Canada,Quebec,,,,,,MLS,,,Alessandro Simone Biello
Club de Foot Montréal,Grayson ,Patrick Doody,United States,Quebec,,,,,,MLS,,,Grayson  Patrick Doody
New England Revolution,Carles Gil,de Pareja Vicent,Spain,Massachusetts,,,,,,MLS,,,Carles Gil de Pareja Vicent
New England Revolution,Ignacio,Gil de Pareja Vicent,Spain,Massachusetts,,,,,,MLS,,,Ignacio Gil de Pareja Vicent
New England Revolution,Matt,Polster,United States,Massachusetts,,,,,,MLS,,,Matt Polster
New England Revolution,David,Romney,United States,Massachusetts,,,,,,MLS,,,David Romney
New England Revolution,Emmanuel,Boateng,Ghana,Massachusetts,,,,,,MLS,,,Emmanuel Boateng
New England Revolution,Andrew,Farrell,United States,Massachusetts,,,,,,MLS,,,Andrew Farrell
New England Revolution,Thomas,McNamara,United States,Massachusetts,,,,,,MLS,,,Thomas McNamara
New England Revolution,Earl,Edwards,United States,Massachusetts,,,,,,MLS,,,Earl Edwards
New England Revolution,Bobby,Wood,United States,Massachusetts,,,,,,MLS,,,Bobby Wood
New England Revolution,Jonathan,Mensah,Ghana,Massachusetts,,,,,,MLS,,,Jonathan Mensah
New England Revolution,Aljaž,Ivačič,Slovenia,Massachusetts,,,,,,MLS,,,Aljaž Ivačič
New England Revolution,Giacomo,Vrioni,Albania,Massachusetts,,,,,,MLS,,,Giacomo Vrioni
New England Revolution,Ian Andrew,Harkes,United States,Massachusetts,,,,,,MLS,,,Ian Andrew Harkes
New England Revolution,Nicholas,Lima,United States,Massachusetts,,,,,,MLS,,,Nicholas Lima
New England Revolution,Mark-Anthony,Kaye,Canada,Massachusetts,,,,,,MLS,,,Mark-Anthony Kaye
